Symptome Mesh/cui 	 Symptom cuis divided with | 	 Side effect cuis divided with | 
D020323	C0278076	C0751901|C0751900
D013851	C0039870	C0041667
D003655	C0011103	C0231474
D020250	C0520909	C0520905|C0520904
D014884	C0043068	C1403891
D054078	C0342731	C0398691
D046088	C0521785	C2607947
D006970	C0020524	C0917799
D020922	C0752299	C0542313
D020921	C0752294	C0752295
D012678	C0036659	C0152027
D007319	C0021603	C0541798|C0033139|C0751249|C0393759|C0917801
D051346	C1565249	C0311394
D000857	C0553757	C1510410|C0003126
D008569	C0025261	C0751295|C0233794
D014832	C0042940	C1527340
D053578	C0393626	C1096154
D004418	C0013405	C1956415|C1956414
D007331	C0021645	C1527401
D007805	C0023014	C0751257
D003244	C0009792	C0549249
