"metabolic processing"	"met"	"The biochemical alteration of a molecule's structure (does not include changes in expression	 stability	 folding	 localization	 splicing	 or transport)."	
"acetylation"	"ace"	"The addition of an acetyl group."	"met"
"acylation"	"acy"	"The addition of an acyl group."	"met"
"alkylation"	"alk"	"The addition of an alkyl group."	"met"
"amination"	"ami"	"The addition of an amine group."	"met"
"carbamoylation"	"car"	"The addition of a carbamoyl group."	"met"
"carboxylation"	"cox"	"The addition of a carboxyl group."	"met"
"chemical synthesis"	"csy"	"A biochemical event resulting in a new chemical product."	"met"
"ethylation"	"eth"	"The addition of an ethyl group."	"met"
"glutathionylation"	"glt"	"The addition of a glutathione group."	"met"
"glycation"	"gyc"	"The non-enzymatic addition of a sugar."	"met"
"glycosylation"	"gly"	"The addition of a sugar group."	"met"
"glucuronidation"	"glc"	"The addition of a sugar group to form a glucuronide	 typically part of an inactivating or detoxifying reaction."	"gly"
"N-linked glycosylation"	"ngl"	"The addition of a sugar group to an amide nitrogen."	"gly"
"O-linked glycosylation"	"ogl"	"The addition of a sugar group to a hydroxyl group."	"gly"
"hydroxylation"	"hdx"	"The addition of a hydroxy group."	"met"
"lipidation"	"lip"	"The addition of a lipid group."	"met"
"farnesylation"	"far"	"The addition of a farnesyl group."	"lip"
"geranoylation"	"ger"	"The addition of a geranoyl group."	"lip"
"myristoylation"	"myr"	"The addition of a myristoyl group."	"lip"
"palmitoylation"	"pal"	"The addition of a palmitoyl group."	"lip"
"prenylation"	"pre"	"The addition of a prenyl group."	"lip"
"methylation"	"myl"	"The addition of a methyl group."	"met"
"nitrosation"	"nit"	"The addition of a nitroso or nitrosyl group."	"met"
"nucleotidylation"	"nuc"	"The addition of a nucleotidyl group."	"met"
"oxidation"	"oxd"	"The loss of electrons."	"met"
"phosphorylation"	"pho"	"The addition of a phosphate group."	"met"
"reaction"	"rxn"	"Any general biochemical or molecular event."	
"reduction"	"red"	"The gain of electrons."	"met"
"ribosylation"	"rib"	"The addition of a ribosyl group."	"met"
"ADP-ribosylation"	"arb"	"The addition of a ADP-ribosyl group."	"rib"
"sulfation"	"sul"	"The addition of a sulfate group."	"met"
"sumoylation"	"sum"	"The addition of a SUMO group."	"met"
"ubiquitination"	"ubq"	"The addition of an ubiquitin group."	"met"
